"Weight","Seed","L_R_Init","L_R_Final","L_R_OK","R_R_Init","R_R_Final","R_R_OK","L_T_Init","L_T_Final","R_T_Init","R_T_Final","Dice","Time"
"0.025","2026","1.95384502410889","0.855465531349182","True","1.22077143192291","1.36573040485382","False","0.66120570898056","0.67185640335083","1.52770984172821","0.806108713150024","0.981792608896891","0.782602899998892"
"0.025","2027","1.17702853679657","0.311533004045486","True","2.40680265426636","1.40109395980835","True","1.91279530525208","0.760420143604279","1.59135568141937","0.715961456298828","0.981914629538854","0.795311399997445"
"0.025","2028","1.40025579929352","0.868180394172668","True","1.28206896781921","1.583132147789","False","2.03177213668823","0.721854746341705","0.95248556137085","0.800263404846191","0.975960532824198","0.779590999998618"
"0.025","2029","1.51955497264862","1.12604868412018","True","0.567862331867218","0.899616479873657","False","0.768460988998413","0.709755778312683","0.151102960109711","0.686826229095459","0.982345670461655","0.809794999979204"
"0.025","2030","2.40794086456299","3.37289762496948","False","1.20755553245544","1.59863150119781","False","3.02280616760254","1.37731409072876","1.98536574840546","0.721454560756683","0.890687088171641","0.728775199997472"
"0.025","2031","1.08390069007874","1.20885133743286","False","2.25776100158691","1.60278820991516","True","1.48286211490631","0.78494668006897","1.54060792922974","0.743232429027557","0.98068356513977","0.862585700000636"
"0.025","2032","0.903090059757233","0.929569780826569","False","2.22052502632141","1.4687374830246","True","2.24727869033813","0.772748112678528","1.30266988277435","0.666854679584503","0.969303141037623","0.755562399979681"
"0.025","2033","1.13228750228882","0.193826660513878","True","1.79362368583679","1.23257637023926","True","2.75153279304504","0.744683563709259","1.17048704624176","0.76639848947525","0.977180927991867","0.78656469998532"
"0.025","2034","1.12047398090363","1.05052959918976","True","1.61495184898376","1.40332698822021","True","1.13772773742676","0.705815851688385","1.99483847618103","0.735248506069183","0.982462177673976","0.787739199993666"
"0.025","2035","2.50639677047729","1.51723504066467","True","0.868631064891815","1.12778520584106","False","2.25482773780823","0.800298273563385","0.689363837242126","0.689684152603149","0.978416124979655","0.775930300005712"
"0.05","2026","1.95384502410889","0.565098941326141","True","1.22077143192291","0.825194001197815","True","0.66120570898056","0.760471165180206","1.52770984172821","0.692120850086212","0.986720681190491","0.770324399985839"
"0.05","2027","1.17702853679657","0.583497703075409","True","2.40680265426636","1.42957639694214","True","1.91279530525208","0.738624513149261","1.59135568141937","0.686001181602478","0.979417115449905","0.789299399999436"
"0.05","2028","1.40025579929352","1.0094940662384","True","1.28206896781921","1.00405192375183","True","2.03177213668823","0.729905724525452","0.95248556137085","0.672275364398956","0.977289448181788","0.764912999991793"
"0.05","2029","1.51955497264862","0.574712634086609","True","0.567862331867218","0.614848792552948","False","0.768460988998413","0.712364137172699","0.151102960109711","0.612317085266113","0.984772781531016","0.781208100001095"
"0.05","2030","2.40794086456299","3.24280619621277","False","1.20755553245544","1.51491165161133","False","3.02280616760254","1.57170295715332","1.98536574840546","0.700466990470886","0.880932887395223","0.729236799990758"
"0.05","2031","1.08390069007874","0.766683101654053","True","2.25776100158691","1.35797095298767","True","1.48286211490631","0.738606870174408","1.54060792922974","0.669325292110443","0.9835577805837","0.796444100007648"
