run,frame,optimized,skipped,init,time_s,correspondences,dice_mean,dice_left_mean,dice_right_mean,dice_left_shaft,dice_left_wrist,dice_left_grippers,dice_right_shaft,dice_right_wrist,dice_right_grippers,left_translation_error_mm,left_rotation_error_deg,right_translation_error_mm,right_rotation_error_deg
run_1789376009_gpu1_env0,0,1,,perturb-gt,0.7299410999985412,492,0.7418834467728933,0.5161797801653544,0.9675871133804321,0.5769644975662231,0.6786248087882996,0.2929500341415405,0.9896594285964966,0.9778149724006653,0.9352869391441345,1.5296849012374878,10.842516899108887,0.6248335838317871,1.1120595932006836
run_1789376009_gpu1_env0,1,1,,previous,0.6450407000083942,702,0.9613480468591055,0.9573202927907308,0.9653758009274801,0.9616438150405884,0.9751999974250793,0.9351170659065247,0.9845004081726074,0.9723939299583435,0.9392330646514893,0.7490092515945435,2.0873165130615234,0.6228963732719421,1.4513132572174072
run_1789376009_gpu1_env0,2,1,,previous,0.6510215999733191,716,0.9598063031832377,0.9562979141871134,0.9633146921793619,0.9656121134757996,0.9695023894309998,0.933779239654541,0.9936287999153137,0.9676616787910461,0.9286535978317261,0.7537633776664734,1.7431597709655762,0.5995345711708069,1.2013819217681885
run_1789376009_gpu1_env0,3,1,,previous,0.6770679000183009,726,0.9657935400803884,0.9641239643096924,0.9674631158510844,0.96712327003479,0.974979817867279,0.9502688050270081,0.9900138974189758,0.970600426197052,0.9417750239372253,0.7364273071289062,1.1405527591705322,0.6681459546089172,1.6732759475708008
run_1789376009_gpu1_env0,4,1,,previous,0.6538328999886289,718,0.9677447477976481,0.9662533601125082,0.9692361354827881,0.9661971926689148,0.9795427322387695,0.9530201554298401,0.9910109043121338,0.9735537171363831,0.9431437849998474,0.7257285118103027,1.474588394165039,0.6115078926086426,1.4833213090896606
run_1789376009_gpu1_env0,5,1,,previous,0.6469803999934811,726,0.9743746717770895,0.975053866704305,0.9736954768498739,0.9790209531784058,0.9830781817436218,0.9630624651908875,0.9909960031509399,0.9751655459403992,0.9549248814582825,0.734376847743988,0.793275773525238,0.6156976222991943,1.354797124862671
run_1789376009_gpu1_env0,6,1,,previous,0.6500574999954551,737,0.974676102399826,0.974352498849233,0.9749997059504191,0.9795918464660645,0.9838969111442566,0.9595687389373779,0.9890687465667725,0.9755288362503052,0.9604015350341797,0.7365788817405701,0.6404136419296265,0.7034327387809753,1.142609715461731
run_1789376009_gpu1_env0,7,1,,previous,0.6486694999912288,737,0.9809134403864542,0.975743035475413,0.9860838452974955,0.9798657894134521,0.9847021102905273,0.9626612067222595,0.991685152053833,0.9850124716758728,0.9815539121627808,0.7187679409980774,0.4441135823726654,0.6917662024497986,0.750170886516571
run_1789376009_gpu1_env0,8,1,,previous,0.710492099984549,734,0.982724924882253,0.9777800043423971,0.987669845422109,0.9826435446739197,0.9859268069267273,0.9647696614265442,0.9933591485023499,0.9841269850730896,0.9855234026908875,0.6860624551773071,0.5719823241233826,0.6175365447998047,0.5188876986503601
run_1789376009_gpu1_env0,9,1,,previous,0.6545368999941275,739,0.9816317955652872,0.9777055978775024,0.9855579932530721,0.9738903641700745,0.9838839769363403,0.9753424525260925,0.9915781021118164,0.9807208776473999,0.984375,0.7219112515449524,0.6336560845375061,0.6344324946403503,0.5248866677284241
run_1789376009_gpu1_env0,10,1,,previous,0.6680591000185814,733,0.9837205111980438,0.9816821614901224,0.9857588609059652,0.9768041372299194,0.9867735505104065,0.9814687967300415,0.9911553263664246,0.982367753982544,0.983753502368927,0.732722818851471,0.4054182171821594,0.6545798778533936,0.881600022315979
run_1789376009_gpu1_env0,11,1,,previous,0.67110499998671,741,0.9810345967610677,0.9771425724029541,0.9849266211191813,0.968866765499115,0.9852413535118103,0.977319598197937,0.9881182909011841,0.9840871095657349,0.982574462890625,0.7255281209945679,0.42336153984069824,0.6295070052146912,0.7044336199760437
run_1789376009_gpu1_env0,12,1,,previous,0.6471994000021368,734,0.9812010924021403,0.9757439096768697,0.9866582751274109,0.970802903175354,0.9833068251609802,0.9731220006942749,0.9919800758361816,0.984886646270752,0.9831081032752991,0.7349045276641846,0.7808449268341064,0.6021223068237305,0.756405234336853
run_1789376009_gpu1_env0,13,1,,previous,0.6458049000066239,734,0.9827965497970581,0.9786557952562968,0.9869373043378195,0.978672981262207,0.9798816442489624,0.977412760257721,0.9911651015281677,0.9832214713096619,0.9864253401756287,0.752217173576355,1.0605405569076538,0.6313869953155518,0.8336869478225708
