run,frame,optimized,skipped,init,time_s,correspondences,dice_mean,dice_left_mean,dice_right_mean,dice_left_shaft,dice_left_wrist,dice_left_grippers,dice_right_shaft,dice_right_wrist,dice_right_grippers,left_translation_error_mm,left_rotation_error_deg,right_translation_error_mm,right_rotation_error_deg
run_1789376009_gpu1_env0,0,1,,perturb-gt,0.8251965999952517,665,0.9604870776335398,0.9344875613848368,0.9864865938822428,0.9028871655464172,0.9508856534957886,0.9496898651123047,0.9912827014923096,0.9845897555351257,0.9835873246192932,0.6645731329917908,1.4927901029586792,0.6557702422142029,0.41401463747024536
run_1789376009_gpu1_env0,1,1,,previous,0.6637808000086807,725,0.974679042895635,0.9656606912612915,0.9836973945299784,0.9593495726585388,0.9722557067871094,0.9653767943382263,0.9937716126441956,0.9820758700370789,0.9752447009086609,0.7231655716896057,1.1088876724243164,0.6288027763366699,0.46646201610565186
run_1789376009_gpu1_env0,2,1,,previous,0.6522111000085715,725,0.9812204738457998,0.9772571722666422,0.9851837754249573,0.9794801473617554,0.9842424392700195,0.9680489301681519,0.9941844344139099,0.9849624037742615,0.9764044880867004,0.6998476982116699,0.4949555993080139,0.610845685005188,0.5532007217407227
run_1789376009_gpu1_env0,3,1,,previous,0.6846288999950048,734,0.981194406747818,0.9775247971216837,0.9848640163739523,0.9807162284851074,0.983023464679718,0.9688346982002258,0.9912899136543274,0.985774040222168,0.9775280952453613,0.6916304230690002,0.4933716654777527,0.6904467940330505,0.9942596554756165
run_1789376009_gpu1_env0,4,1,,previous,0.6388052000256721,728,0.984048585096995,0.9796250462532043,0.9884721239407858,0.9794801473617554,0.9858356714248657,0.9735593199729919,0.9952830076217651,0.987891435623169,0.9822419285774231,0.7385231256484985,0.5774299502372742,0.6775789260864258,0.7947543859481812
run_1789376009_gpu1_env0,5,1,,previous,0.6733521999849472,730,0.9805721541245779,0.9828264713287354,0.9783178369204203,0.9848275780677795,0.9866558909416199,0.9769959449768066,0.9919867515563965,0.97826087474823,0.9647058844566345,0.6823548674583435,0.6186559796333313,0.6054680943489075,0.4387946128845215
run_1789376009_gpu1_env0,6,1,,previous,0.6491901999979746,732,0.984503448009491,0.9845422108968099,0.984464685122172,0.9823129177093506,0.9890732765197754,0.9822404384613037,0.9908612370491028,0.9853740334510803,0.977158784866333,0.7589635252952576,0.614848792552948,0.6447024941444397,0.6019843220710754
run_1789376009_gpu1_env0,7,1,,previous,0.647122299997136,739,0.9793707231680552,0.9762077331542969,0.9825337131818136,0.9720372557640076,0.9785338044166565,0.9780521392822266,0.9907445907592773,0.9807853102684021,0.9760712385177612,0.7379374504089355,0.3956475853919983,0.592296838760376,0.7396636605262756
run_1789376009_gpu1_env0,8,1,,previous,0.721461500012083,741,0.9859043459097544,0.9835500915845236,0.9882586002349854,0.9852744340896606,0.9898989796638489,0.975476861000061,0.990742027759552,0.9874266386032104,0.9866071343421936,0.7168307304382324,0.24389328062534332,0.7100924253463745,1.060171365737915
run_1789376009_gpu1_env0,9,1,,previous,0.6566394999972545,735,0.9833196997642517,0.9819394946098328,0.9846999049186707,0.9841688871383667,0.9842678308486938,0.9773817658424377,0.9900662302970886,0.9841004014015198,0.9799330830574036,0.759637713432312,0.6829963326454163,0.6313827037811279,0.7060983180999756
run_1789376009_gpu1_env0,10,1,,previous,0.6608866000024136,721,0.9836776753266653,0.9852720499038696,0.9820833007494608,0.9856584072113037,0.9879903793334961,0.9821673631668091,0.9899352192878723,0.9781879186630249,0.9781267642974854,0.7334606647491455,0.38866209983825684,0.5883493423461914,0.738604724407196
run_1789376009_gpu1_env0,11,1,,previous,0.6672761999943759,736,0.9768009185791016,0.96773229042689,0.9858695467313131,0.956843376159668,0.9771543145179749,0.9691991806030273,0.9904761910438538,0.9844993948936462,0.9826330542564392,0.7076149582862854,0.7016503214836121,0.6007632613182068,0.7986840009689331
run_1789376009_gpu1_env0,12,1,,previous,0.6748150000057649,739,0.9817513922850291,0.9752465685208639,0.9882562160491943,0.9792429804801941,0.9734863638877869,0.9730103611946106,0.9903314709663391,0.9873949289321899,0.987042248249054,0.7680435180664062,0.9675278067588806,0.6224371194839478,1.0864253044128418
run_1789376009_gpu1_env0,13,1,,previous,0.6608631999988575,733,0.9842586318651835,0.9784903327624003,0.9900269309679667,0.9834123253822327,0.9754746556282043,0.9765840172767639,0.9925270080566406,0.9882943034172058,0.9892594814300537,0.7641684412956238,1.3677349090576172,0.60700923204422,0.7214502096176147
run_1789376009_gpu1_env0,14,1,,previous,0.6633193999878131,737,0.9844603935877482,0.9829829335212708,0.9859378536542257,0.9849362969398499,0.9874607920646667,0.9765517115592957,0.9900662302970886,0.9836203455924988,0.9841269850730896,0.732039213180542,1.0271726846694946,0.6095166206359863,0.8237700462341309
run_1789376009_gpu1_env0,15,1,,previous,0.6542071000149008,738,0.9853936930497488,0.9817295670509338,0.9890578190485636,0.9833148121833801,0.9840652942657471,0.9778085947036743,0.9902055263519287,0.9865996837615967,0.9903682470321655,0.7343670725822449,0.8855862021446228,0.6558879017829895,0.8965661525726318
